person,job,position
"Shekhar Gupta","Editor-in-Chief, ThePrint, India","Level 1Editor-in-Chief"
"Sven Gösmann","Editor-in-Chief, DPA - Deutsche Presse Agentur, Germany","Level 1Editor-in-Chief"
"Anthony William Hall of Birkenhead","Director-General, BBC News, United Kingdom","Level 1Editor-in-Chief"
"James Harding","Co-Founder and Editor, Tortoise Media, United Kingdom","Level 1Editor-in-Chief"
"Julien Hawari","Editor-in-Chief, Trends, United Arab Emirates","Level 1Editor-in-Chief"
"He Wei","President and Editor-in-Chief, Securities Times, People's Republic of China","Level 1Editor-in-Chief"
"Uwe J. Heuser","Chief Publisher, ZEIT-Geld",""
"Joel Hills","Business and Economics Editor, ITV News, United Kingdom","Level 1Editor-in-Chief"
"Tetsuji Ida","Senior Staff Writer and Editorial Writer, Kyodo News, Japan","Level 1Editor-in-Chief"
"Adi Ignatius","Editor-in-Chief, Harvard Business Review Group, USA","Level 1Editor-in-Chief"
"Faisal Islam","Political Editor, Sky News, United Kingdom","Level 1Editor-in-Chief"
"Barun Jha","National Editor, Press Trust of India, India","Level 1Editor-in-Chief"
"Hilary Joffe","Contributing Editor, Business Times, South Africa","Level 1Editor-in-Chief"
"Stefan Kaiser","Deputy Head, Business and Economics Desk, Spiegel Online, Der Spiegel, Germany","Level 1Editor-in-Chief"
"Tinatin Kandelaki","General Producer, Match TV, Russian Federation","Level 1Editor-in-Chief"
"Manuela Kasper-Claridge","Head, Business, Science, Environment",""
"Roula Khalaf","Editor, Financial Times, United Kingdom","Level 1Editor-in-Chief"
"Carsten Knop","Editor-in-Chief, Digital Products, Frankfurter Allgemeine Zeitung, Germany","Level 1Editor-in-Chief"
"Tanit Koch","Editor-in-Chief, RTL",""
"Wolfgang Krach","Editor-in-Chief, Süddeutsche Zeitung, Germany","Level 1Editor-in-Chief"
"Hiroko Kuniya","Special Editor-in-Chief, GLOBE, Asahi Shimbun, Japan","Level 1Editor-in-Chief"
"Randall Lane","Chief Content Officer, Forbes, USA","Level 1Editor-in-Chief"
"Clifton Leaf","Editor-in-Chief, Fortune, USA","Level 1Editor-in-Chief"
"Ellana Lee","Senior Vice-President and Managing Editor, CNN International, Hong Kong SAR, China","Level 1Editor-in-Chief"
"Gideon Lichfield","Editor-in-Chief, MIT - Technology Review, USA","Level 1Editor-in-Chief"
"Uni Zulfiani Lubis","Editor-in-Chief, IDN Times, Indonesia","Level 1Editor-in-Chief"
"Philippe Mabille","Editor, Tribune, France","Level 1Editor-in-Chief"
"Georg Meck","Senior Business Editor, Frankfurter Allgemeine Sonntagszeitung, Germany","Level 1Editor-in-Chief"
"Miriam Meckel","Founding Publisher, ada, Handelsblatt, Germany","Level 1Editor-in-Chief"
"John Micklethwait","Editor-in-Chief, Bloomberg, USA","Level 1Editor-in-Chief"
"Zanny Minton Beddoes","Editor-in-Chief, The Economist, United Kingdom","Level 1Editor-in-Chief"
"Lukanyo Mnyanda","Editor, Business Day, South Africa","Level 1Editor-in-Chief"
"Maurizio Molinari","Editor-in-Chief, Stampa, Italy","Level 1Editor-in-Chief"
"Matthew Murray","Editor-in-Chief, Wall Street Journal, USA","Level 1Editor-in-Chief"
"Patrik Müller","Editor-in-Chief, CH Media, Switzerland","Level 1Editor-in-Chief"
"Yoichi Nishimura","Managing Director, Asahi Shimbun, Japan","Level 1Editor-in-Chief"
"Fabrice Node-Langlois","Editor-in-Chief, International Economics, Le Figaro, France","Level 1Editor-in-Chief"
"Rainer Nowak","Editor-in-Chief and Publisher, Die Presse, Austria","Level 1Editor-in-Chief"
"George Osborne","Editor, Evening Standard, United Kingdom","Level 1Editor-in-Chief"
"Aroon Purie","Chairman and Editor-in-Chief, India Today Group, India","Level 1Editor-in-Chief"
"Kalli Purie Bhandal","Vice-Chairperson and Managing Director, India Today Group, India","Level 1Editor-in-Chief"
"Bernard Rappaz","Head, News, Swiss Television RTS, Switzerland","Level 1Editor-in-Chief"
"Guy Rolnik","Founding Editor-in-Chief, The Marker",""
"Gideon Rose","Editor, Foreign Affairs, USA","Level 1Editor-in-Chief"
"Eric Rubin","Editor-in-Chief, New England Journal of Medicine, USA","Level 1Editor-in-Chief"
"Arthur Rutishauser","Editor-in-Chief, Tages-Anzeiger, Switzerland","Level 1Editor-in-Chief"
"Chantal Saliba","Senior Anchor, Sky News Arabia, United Arab Emirates","Level 1Editor-in-Chief"
"Jose Manuel Sanz Mingote","Director, International Relations, Agencia EFE, Spain","Level 1Editor-in-Chief"
"Sergio Sarmiento","Editor-in-Chief and Vice-President, Editorial Board, TV Azteca, Mexico","Level 1Editor-in-Chief"
"Andreas Schaffner","Editor-in-Chief, CNNMoney Switzerland, Switzerland","Level 1Editor-in-Chief"
"Dirk Schütz","Editor-in-Chief, BILANZ, Switzerland","Level 1Editor-in-Chief"
"Andy Serwer","Editor-in-Chief, Yahoo Finance, USA","Level 1Editor-in-Chief"
"Pranjal Sharma","Contributing Editor, Businessworld, India","Level 1Editor-in-Chief"
"Alyson Shontell Lombardi","Editor-in-Chief, Business Insider, USA","Level 1Editor-in-Chief"
"Magdalena Skipper","Editor-in-Chief, Nature, United Kingdom","Level 1Editor-in-Chief"
"Ben Smith","Editor-in-Chief, Buzzfeed, USA","Level 1Editor-in-Chief"
"Jonathan Tepperman","Editor-in-Chief, Foreign Policy Group, USA","Level 1Editor-in-Chief"
"Nicholas Thompson","Editor-in-Chief, Wired Magazine, USA","Level 1Editor-in-Chief"
"Jean-Marc Vittori","Editor, Les Echos, France","Level 1Editor-in-Chief"
"David Walmsley","Editor-in-Chief, Globe and Mail, Canada","Level 1Editor-in-Chief"
"Nathalie Wappler","Head and Chief Executive Officer, Swiss Radio and Television SRF, Switzerland","Level 1Editor-in-Chief"
"Yves Wegelin","Co-Editor-in-Chief, Die Wochenzeitung (WOZ), Switzerland","Level 1Editor-in-Chief"
"Jochen Wegner","Editor-in-Chief, Zeit Online, Germany","Level 1Editor-in-Chief"
"Stuart Williams","Deputy Chief, International Desk, Agence France Presse, France","Level 1Editor-in-Chief"
"Peter Wolodarski","Editor-in-Chief, Dagens Nyheter, Sweden","Level 1Editor-in-Chief"
"Justin Worland","Energy and Environment Correspondent, TIME, USA","Level 1Editor-in-Chief"
"Marin Alsop","Music Director, Baltimore Symphony, USA","Level 1Arts, Culture & Sports"
"Gina Badenoch","Founder, Capaxia, United Kingdom","Level 1Arts, Culture & Sports"
"Caroline Baumann","Director, Cooper Hewitt, Smithsonian Design Museum, USA","Level 1Arts, Culture & Sports"
"Romero Britto","Artist and President, Britto Central, USA","Level 1Arts, Culture & Sports"
"Molly Burke","YouTuber, Motivational Speaker, Author and Commercial Model, Molly Burke Corp., USA","Level 1Arts, Culture & Sports"
"Sharmeen Obaid Chinoy","Chief Executive Officer, SOC Films, Pakistan","Level 1Arts, Culture & Sports"
"Christophe Danzin","Director, Development, LUMA Arles, France","Level 1Arts, Culture & Sports"
"Micheline Engel","Philanthropist, France","Level 1Arts, Culture & Sports"
"Martin Engström","Founder and Executive Director, Verbier Festival, Switzerland","Level 1Arts, Culture & Sports"
"Cruz Erdmann","Photographer, New Zealand","Level 1Arts, Culture & Sports"
"Peter B. Gabriel","Founder, Real World, United Kingdom","Level 1Arts, Culture & Sports"
"Theaster Gates","Founder and Director, Rebuild Foundation,","Level 1Arts, Culture & Sports"
"Mehdi Ghadyanloo","Artist, Painter and Public Artist, Islamic Republic of Iran","Level 1Arts, Culture & Sports"
"Thando Hopa","Diversity Advocate and International Model, Thando Hopa Media, South Africa","Level 1Arts, Culture & Sports"
"Jin Xing","Choreographer and Founder, Jin Xing Dance Theatre Shanghai, People's Republic of China","Level 1Arts, Culture & Sports"
"Wanuri Kahiu","Filmmaker, Afrobubblegum, Kenya","Level 1Arts, Culture & Sports"
"Angelique Kidjo","Musician and UNICEF Goodwill Ambassador, USA","Level 1Arts, Culture & Sports"
"Fernando Laposse","Product and Material Designer, United Kingdom","Level 1Arts, Culture & Sports"
"Julia Lohmann","Designer and Researcher, USA","Level 1Arts, Culture & Sports"
"Yo-Yo Ma","Cellist, Sound Postings, USA","Level 1Arts, Culture & Sports"
"Cara Mertes","Project Director, Moving Image Strategies, Ford Foundation, USA","Level 1Arts, Culture & Sports"
"Sputniko! Ozaki","Associate Professor, Tokyo University of the Arts, Japan","Level 1Arts, Culture & Sports"
"Platon","Photographer and Founder, People's Portfolio, USA","Level 1Arts, Culture & Sports"
"Winslow Porter","Director, Producer and Creative Technologist, Virtual Reality Films, New Reality Co., USA","Level 1Arts, Culture & Sports"
"Daan Roosegaarde","Artist and Innovator, Studio Roosegaarde, Netherlands","Level 1Arts, Culture & Sports"
"Nico Rosberg","Greentech Entrepreneur and F1 2016 World Champion, Monaco","Level 1Arts, Culture & Sports"
"Anant Singh","Producer, Videovision Entertainment, South Africa","Level 1Arts, Culture & Sports"
"Philip Tinari","Director and Chief Executive Officer, UCCA Center for Contemporary Art, People's Republic of China","Level 1Arts, Culture & Sports"
"Samuel Van Aken","Contemporary Artist, USA","Level 1Arts, Culture & Sports"
"Cathleen Van Aken","Contemporary Artist, Van Aken Studios, USA","Level 1Arts, Culture & Sports"
"Lynette Wallworth","Artist, Studio Wallworth, Australia","Level 1Arts, Culture & Sports"
"Micah White","Co-Creator, Occupy, USA","Level 1Arts, Culture & Sports"
"Harry Yeff","Artist and Director, Experience Design, Reeps100 Studios, United Kingdom","Level 1Arts, Culture & Sports"
"Andria Zafirakou","Teacher, Arts and Textile, Alperton Community School, United Kingdom","Level 1Arts, Culture & Sports"
"Milica Zec","Director, Film and Mixed Reality, New Reality Co., USA","Level 1Arts, Culture & Sports"
"will.i.am","Founder and Chief Executive Officer, I.AM.PLUS, USA","Level 1Arts, Culture & Sports"
"Scott Aaronson","David J. Bruton Centennial Professor of Computer Science",""
"Henny Admoni","Assistant Professor, Robotics Institute, Carnegie Mellon University, USA","Level 1Academia/Think-tank"
"Conny Aerts","Professor, University of Leuven (KU Leuven), Belgium","Level 1Academia/Think-tank"
"David B. Agus","Professor of Medicine and Engineering",""
"Nadia Al-Sakkaf","Gender and Politics Researcher, University of Reading, United Kingdom","Level 1Academia/Think-tank"
"John R. Allen","President, Brookings Institution, USA","Level 1Academia/Think-tank"
"Julie Battilana","Alan L. Gleitsman Professor of Social Innovation, Harvard Kennedy School of Government, USA","Level 1Academia/Think-tank"
"Mary Beard","Professor of Classics, University of Cambridge, United Kingdom","Level 1Academia/Think-tank"
"Carol Becker","Dean of Faculty, School of the Arts, Columbia University, USA","Level 1Academia/Think-tank"
"Genevieve Bell","Distinguished Professor",""
"Rwitwika Bhattacharya-Agarwal","Founder and Chief Executive Officer, Swaniti Initiative, India","Level 1Academia/Think-tank"
"Julian Birkinshaw","Professor of Strategic and International Management, London Business School, United Kingdom","Level 1Academia/Think-tank"
"Julie Bishop","Chancellor, Australian National University, Australia","Level 1Academia/Think-tank"
"Tony Blair","Prime Minister of the United Kingdom (1997-2007)",""
"Jason Bordoff","Founding Director, Columbia University Center on Global Energy Policy",""
"Chad Bown","Senior Fellow, Peterson Institute for International Economics, USA","Level 1Academia/Think-tank"
"Erik Brynjolfsson","Schussel Family Professor",""
"William Burns","President, Carnegie Endowment for International Peace, USA","Level 1Academia/Think-tank"
"Ana Mari Cauce","President, University of Washington, USA","Level 1Academia/Think-tank"
"Sarah Chan","Chancellor's Fellow, University of Edinburgh, United Kingdom","Level 1Academia/Think-tank"
"John Chipman","Director-General and Chief Executive, International Institute for Strategic Studies (IISS), United Kingdom","Level 1Academia/Think-tank"
"James Cockayne","Director, Centre for Policy Research, United Nations University, New York","Level 1Academia/Think-tank"
"Paul Collier","Professor of Economics and Public Policy, Blavatnik School of Government, University of Oxford, United Kingdom","Level 1Academia/Think-tank"
"Francis S. Collins","Director, National Institutes of Health, USA","Level 1Academia/Think-tank"
"Gretchen Daily","Bing Professor in Environmental Science, Stanford University, USA","Level 1Academia/Think-tank"
"Adriana De Palma","Co-Investigator Researcher, Natural History Museum, United Kingdom","Level 1Academia/Think-tank"
"Robbert Dijkgraaf","Director and Leon Levy Professor, Institute for Advanced Study, USA","Level 1Academia/Think-tank"
"Yuan Ding","Vice-President and Dean, China Europe International Business School (CEIBS), People's Republic of China","Level 1Academia/Think-tank"
"Paula J. Dobriansky","Senior Fellow, Future of Diplomacy Project, Belfer Center for Science and International Affairs, Harvard Kennedy School of Government, USA","Level 1Academia/Think-tank"
"Victor Dzau","President, National Academy of Medicine, USA","Level 1Academia/Think-tank"
"Sylvia Earle","Creator, Mission Blue Foundation, National Geographic Society, USA","Level 1Academia/Think-tank"
"Bernhard Ehrenzeller","President-elect, University of St. Gallen, Switzerland","Level 1Academia/Think-tank"
"Kevin Michael Esvelt","Professor, Massachusetts Institute of Technology (MIT), USA","Level 1Academia/Think-tank"
"Fan Gang","Director, National Economic Research Institute, China Reform Foundation, People's Republic of China","Level 1Academia/Think-tank"
"Niall Ferguson","Senior Fellow, Hoover Institution, Stanford University, USA","Level 1Academia/Think-tank"
"Mauro Ferrari","President, European Research Council, Belgium","Level 1Academia/Think-tank"
"Fionn Ferreira","Scientist, Netherlands","Level 1Academia/Think-tank"
"Yves Flückiger","Rector, University of Geneva, Switzerland","Level 1Academia/Think-tank"
"Suzanne Fortier","Principal and Vice-Chancellor, McGill University, Canada","Level 1Academia/Think-tank"
"Alice Gast","President, Imperial College London, United Kingdom","Level 1Academia/Think-tank"
"Shafi Goldwasser","Director, Simons Institute for the Theory of Computing",""
"Makoto Gonokami","President, University of Tokyo, Japan","Level 1Academia/Think-tank"
"Nik Gowing","Founder and Director, Thinking Unthinkable, United Kingdom","Level 1Academia/Think-tank"
"Adam Grant","Saul P. Steinberg Professor of Management and Psychology, Wharton School, University of Pennsylvania, USA","Level 1Academia/Think-tank"
"Lynda Gratton","Professor of Management Practice, London Business School, United Kingdom","Level 1Academia/Think-tank"
"Judith Grisel","Professor of Psychology and Neuroscience, Bucknell University, USA","Level 1Academia/Think-tank"
"Victor Halberstadt","Professor of Economics, Leiden University, Netherlands","Level 1Academia/Think-tank"
"Jodi Halpern","Professor of Bioethics and Medical Humanities, University of California, Berkeley, USA","Level 1Academia/Think-tank"
"Hao Ping","President, Peking University, People's Republic of China","Level 1Academia/Think-tank"
"Yuval Noah Harari","Professor, Department of History, Hebrew University of Jerusalem, Israel","Level 1Academia/Think-tank"
"Jane Harman","Director, President and Chief Executive Officer, Wilson Center, USA","Level 1Academia/Think-tank"
"Akira Haseyama","President, Keio University, Japan","Level 1Academia/Think-tank"
